archivo,tabla,columna,valor
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,modalidad,A distancia
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,modalidad,Presencial
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,modalidad,Semi-Presencial
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,niv_mod,A1
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,niv_mod,A2
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,niv_mod,A3
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,niv_mod,A5
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,niv_mod,B0
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,niv_mod,D1
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,niv_mod,D2
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,niv_mod,F0
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,ges_dep,A1
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,ges_dep,A2
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,ges_dep,A3
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,ges_dep,A4
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,ges_dep,B1
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,ges_dep,B2
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,ges_dep,B3
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,ges_dep,B4
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,ges_dep,B5
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,ges_dep,B6
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,area_censo,1
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,area_censo,2
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,01
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,02
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,03
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,04
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,05
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,06
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,07
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,08
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,09
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,10
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,11
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,12
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,13
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,14
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,15
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,16
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,17
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,18
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,19
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,tipdato,20
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,cuadro,C203
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,cuadro,C204
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,cuadro,C205
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,cuadro,C206
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,cuadro,C208
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,cuadro,C209
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,cuadro,C210
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,cuadro,C211
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,nroced,1A
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,nroced,2A
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,nroced,3AP
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,nroced,3AS
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,nroced,4AA
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,nroced,4AI
parquet\2023\02_Matricula02\Matricula_02.parquet,02_Matricula02,modalidad,
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,B0
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,D1
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,D2
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,E0
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,E1
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,E2
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,F0
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,K0
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,L0
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,M0
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,P0
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,S0
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,niv_mod,T0
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,ges_dep,A1
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,ges_dep,A2
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,ges_dep,A3
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,ges_dep,A4
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,ges_dep,B1
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,ges_dep,B2
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,ges_dep,B3
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,ges_dep,B4
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,ges_dep,B5
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,ges_dep,B6
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,area_censo,1
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,area_censo,2
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,01
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,010
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,0100
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,011
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,012
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,013
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,014
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,02
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,020
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,0200
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,021
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,022
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,023
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,024
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,03
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,030
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,0300
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,031
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,04
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,040
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,0400
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,041
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,042
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,05
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,050
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,051
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,052
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,06
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,060
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,0600
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,061
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,0610
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,062
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,063
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,07
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,070
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,0700
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,071
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,072
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,08
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,080
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,0800
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,081
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,082
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,09
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,090
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,0900
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,091
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,093
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,094
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,1
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,10
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,100
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,1000
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,102
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,103
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,11
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,110
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,111
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,112
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,113
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,12
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,120
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,123
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,124
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,13
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,130
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,131
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,132
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,14
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,140
parquet\2023\03_Matricula03\Matricula_03.parquet,03_Matricula03,tipdato,1400
